============================================================
  CPU SCHEDULING SIMULATION - FIFO (First-In First-Out)
============================================================

Number of processes:                         500
Total elapsed time (CPU burst units):        14734
Throughput (avg burst time per process):     21.1160
CPU utilization (%):                         71.66%
Average waiting time (burst units):          17.88
Average turnaround time (burst units):       39.00
Average response time (burst units):         17.88

------------------------------------------------------------
PID   Arrival   Burst   Start     Finish    Wait      Turnaround   Response  
412   12028     36      12066     12102     38        74           38        
413   12071     28      12102     12130     31        59           31        
414   12072     39      12130     12169     58        97           58        
415   12098     10      12169     12179     71        81           71        
416   12142     20      12179     12199     37        57           37        
417   12157     21      12199     12220     42        63           42        
418   12162     23      12220     12243     58        81           58        
419   12213     33      12243     12276     30        63           30        
420   12261     31      12276     12307     15        46           15        
421   12265     34      12307     12341     42        76           42        
422   12294     37      12341     12378     47        84           47        
423   12352     18      12378     12396     26        44           26        
424   12395     15      12396     12411     1         16           1         
425   12451     29      12451     12480     0         29           0         
426   12498     38      12498     12536     0         38           0         
427   12507     26      12536     12562     29        55           29        
428   12553     24      12562     12586     9         33           9         
429   12590     14      12590     12604     0         14           0         
430   12609     19      12609     12628     0         19           0         
431   12665     22      12665     12687     0         22           0         
432   12707     35      12707     12742     0         35           0         
433   12730     35      12742     12777     12        47           12        
434   12774     31      12777     12808     3         34           3         
435   12806     11      12808     12819     2         13           2         
436   12847     34      12847     12881     0         34           0         
437   12885     2       12885     12887     0         2            0         
438   12933     23      12933     12956     0         23           0         
439   12992     19      12992     13011     0         19           0         
440   13033     34      13033     13067     0         34           0         
441   13047     23      13067     13090     20        43           20        
442   13071     27      13090     13117     19        46           19        
443   13130     3       13130     13133     0         3            0         
444   13174     30      13174     13204     0         30           0         
445   13187     35      13204     13239     17        52           17        
446   13194     15      13239     13254     45        60           45        
447   13197     32      13254     13286     57        89           57        
448   13216     38      13286     13324     70        108          70        
449   13233     30      13324     13354     91        121          91        
450   13260     9       13354     13363     94        103          94        
451   13265     28      13363     13391     98        126          98        
452   13291     7       13391     13398     100       107          100       
453   13346     39      13398     13437     52        91           52        
454   13363     24      13437     13461     74        98           74        
455   13385     15      13461     13476     76        91           76        
456   13392     37      13476     13513     84        121          84        
457   13447     12      13513     13525     66        78           66        
458   13458     34      13525     13559     67        101          67        
459   13500     35      13559     13594     59        94           59        
460   13527     17      13594     13611     67        84           67        
461   13571     9       13611     13620     40        49           40        
462   13601     4       13620     13624     19        23           19        
463   13637     20      13637     13657     0         20           0         
464   13691     14      13691     13705     0         14           0         
465   13719     7       13719     13726     0         7            0         
466   13777     23      13777     13800     0         23           0         
467   13836     5       13836     13841     0         5            0         
468   13890     24      13890     13914     0         24           0         
469   13939     18      13939     13957     0         18           0         
470   13952     20      13957     13977     5         25           5         
471   13964     4       13977     13981     13        17           13        
472   14023     35      14023     14058     0         35           0         
473   14057     28      14058     14086     1         29           1         
474   14068     32      14086     14118     18        50           18        
475   14110     17      14118     14135     8         25           8         
476   14110     36      14135     14171     25        61           25        
477   14138     39      14171     14210     33        72           33        
478   14150     5       14210     14215     60        65           60        
479   14155     12      14215     14227     60        72           60        
480   14214     22      14227     14249     13        35           13        
481   14240     34      14249     14283     9         43           9         
482   14251     22      14283     14305     32        54           32        
483   14282     6       14305     14311     23        29           23        
484   14332     11      14332     14343     0         11           0         
485   14333     5       14343     14348     10        15           10        
486   14337     24      14348     14372     11        35           11        
487   14385     17      14385     14402     0         17           0         
488   14406     1       14406     14407     0         1            0         
489   14410     34      14410     14444     0         34           0         
490   14456     17      14456     14473     0         17           0         
491   14457     32      14473     14505     16        48           16        
492   14493     39      14505     14544     12        51           12        
493   14549     14      14549     14563     0         14           0         
494   14559     22      14563     14585     4         26           4         
495   14572     24      14585     14609     13        37           13        
496   14619     27      14619     14646     0         27           0         
497   14630     30      14646     14676     16        46           16        
498   14689     33      14689     14722     0         33           0         
499   14690     13      14722     14735     32        45           32        
500   14731     9       14735     14744     4         13           4         
============================================================
